Timestamp,A1 What is your age?,A2 What is your sexual orientation?,A2.1 What is your gender identity?,A3 Where do you currently live?,"A4 In your own words, why do you use Bumble?",A5 How often do you use Bumble?,A6 How long have you been using Bumble,A7 Have you ever paid for a bumble feature— whether in the past or recently?,"A8 If yes, which feature(s) did you pay for? (Select all that apply) If no, check None only.","A9 On a scale of 1 to 4, how would you rate your satisfaction in using Bumble so far?

1 - Very dissatisfied
2 - Dissatisfied
3 - Satisfied
4 - Very satisfied
",A10 What type of connection do you use Bumble the most for?,"D1 When seeking dating opportunities on Bumble, do you have a specific goal in mind? (Select one/all that apply)",D2 Do you use your real name when creating a dating account in Bumble?,"D3 On the previous question, briefly explain why you do/do not use your real name?",D4 How many matches (on average) do you typically make in a week?,D5 How do you approach the swiping feature on Bumble personally?,"D6 Based on (Same Age/Different Age), can you briefly explain the reason for this preference?",D7 What type of people do you usually look for in Bumble Dating?,D8 What type of people do you prefer to date?,D9 Do you first move or first message someone you've matched with on Bumble?,"D10 For the previous question, why or why not?",D11 What is/are the biggest challenge/s you face when looking for dates on Bumble?,D12 What are your biggest dislikes when interacting with people you've matched with?,"D13 In a scale of 1 to 5, rate on how Bumble affected your social life.","D14 In a scale of 1 to 5, rate on how Bumble affected your self-confidence.",D15 Share what learning experience/s you've learned by using Bumble to find a date or love as a student.,"B1 When finding friends on Bumble, do you have a specific goal in mind? (Select one/all that apply)",B2 Do you use your real name when creating a BFF account in Bumble?,"B3 On the previous question, briefly explain why you do/do not use your real name? ",B4 How many matches (on average) do you typically make in a week?,B5 How do you approach the swiping feature on Bumble personally?,"B6 Based on (Same Age/Different Age), can you briefly explain the reason for this preference? ",B7 What type of people do you usually look for in Bumble BFF?,B8 What type of people do you prefer to become friends with?,B9 Do you first move or first message someone you've matched with on Bumble? ,"B10 For the previous question, why or why not?",B11 What is/are the biggest challenge/s you face when looking for friends on Bumble? ,B12 What is the main reason you're seeking new friends right now?,B13 Have you ever met any of your BFF match in person?,B14 Estimate how many friends (may it be real life or online) you've made over the course of your Bumble BFF use?,B15 Share what learning experience/s you've learned by using Bumble to find a friend/s as a student. ,"C1 When finding people in Bizz on Bumble, do you have a specific goal in mind? (Select one/all that apply)",C2 Do you use your real name when creating a professional account in Bumble Bizz?,"C3 On the previous question, briefly explain why you do/do not use your real name? ",C4 How many matches (on average) do you typically make in a week?,C5 How do you approach the swiping feature on Bumble personally? ,C6 What type of people do you usually look for in Bumble Bizz?,C7 How often do you reach out to new contacts on Bumble for business purposes?,C8 What is/are the biggest challenge/s you face when looking for professionals in Bumble?,C9 What do you believe is the biggest advantage of using Bumble for your networking goals?,C10 Have you ever secured a Bumble business contact over the course of your Bumble Bizz usage?,"C11 From the previous question, can you estimate how many matches you've made so far?",C12 Do you find your conversations on Bumble Bizz leads to follow-ups or further networking opportunities on other platforms or face-to-face meetups?,"C13 In a scale of 1 to 5, rate on how Bumble Bizz affected your self-confidence","C14 In a scale of 1 to 5, rate on how Bumble Bizz helped you in your career growth.",C15 Share what learning experience/s you've learned by using Bumble to find professional connections.
4/4/2025 20:26:41,20,Gay,Male,Cavite,To entertain myself and find some interesting people to talk to.,Several times a day,More than a year,Yes,"Boost, Compliment, Premium, Spotlight, Superswipe",4,Dating,"Fun, casual dates, Intimacy, without commitment",No,"I do not trust yet the people there, I always value my anonymity.",10,Aggressive swiping - I swipe to maximize matches and filter later,"I think same age because I can talk about things that they can possibly relate to since we are at the same stage in life. For different age, maybe age gap by less than 5 years would be the max tolerable age gap.","Same University/College, Same Age, Same Location, Same Interests",Men,Yes,Yes because I like presenting myself head on as a guy that's approachable to talk with. This sets a great conversation flow between us.,"Finding genuine connections, Geographic distance, I am not their type, Matches that don't respond, Not enough matches",People that are dry texter.,2 - Somewhat negatively affected my social life,4 - Somewhat positively improved my self-confidence,"Bumble dating is not for the weak hearted. Maybe there's a chance to find true love there, but it's rare I guess. Always be guarded on dating apps because it's a cutthroat environment out there.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025 20:34:36,21,Heterosexual (straight),Female,Metro Manila,for past time or i just it when i am bored,Few times a week,1-3 months,Yes,Superswipe,3,Dating,"Fun, casual dates",No,for privacy and safety,more than 10 usually,Selective swiping - I swipe right only on profiles that genuinely catch my interest,i like men who's older than me,"Same Interests, Different Age",Men,No,no cause i like men who made a move first,"Geographic distance, Not my type",they immediately want to meet even if we just talked for a day,2 - Somewhat negatively affected my social life,2 - Somewhat negatively affected my self-confidence,don't find a bf or gf in dating app cause some of them only wants to hook up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025 20:40:02,20,Bisexual,Non-binary,Cavite,For fun,Once a day,Less than a month,No,None,3,Dating,"Fun, casual dates",No,privacy ,Likely 5,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I like age that is closer to me ,"Same Location, Different Location",Non-binary people,Yes,I don't know I just like to do a first move,Finding genuine connections,they want to have sex already ,4 - Somewhat positively improved my social life,3 - No Impact,be careful who you chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025 20:43:14,21,Heterosexual (straight),Female,Metro Manila,For entertainment whenever I'm bored and want someone to talk to,Once a day,6-12 months,No,None,3,Dating,"Fun, casual dates, Intimacy, without commitment",No,I don't want to be called by my real name if I only met a person thru online ,At least 4,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"I prefer guys who are at least 1-3 years older than me, I think they are more mature than guys who are younger than me.","Same Interests, Different University/College, Different Degree Program",Men,Yes,I find it more thrilling ,"Finding genuine connections, Matches that don't respond",I hate matching with those guys that have other motives.,2 - Somewhat negatively affected my social life,2 - Somewhat negatively affected my self-confidence,I think one of the things I learned is don't trust everything you see online.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025 20:54:29,19,Heterosexual (straight),Female,Metro Manila,I just use bumble when i'm bored.,Rarely,1-3 months,No,None,3,BFF,,,,,,,,,,,,,,,,Gaming,Yes,I use my real name because I want to find friends that I could add on my socials and hopefully meet them in real life,1-2,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I just think that people that have the same age as mine would be the most suitable to match my vibe ,Same Interests,Women,No,I don't know how to start an interesting conversation. ,Misaligned goals (some are looking for other various type of friendships or looking for dates in BFF etc.),Bored,No,3,N/A,,,,,,,,,,,,,,,
4/4/2025 21:03:53,18,Gay,Male,Laguna,dating app,Few times a week,1-3 months,No,None,4,Dating,Long-term relationship,Yes,i use because i want too,2,Strategic swiping - I swipe based on specific type or checklist in mind,it's just personal ,Same Location,Men,Yes,Because it's i want to,Finding genuine connections,Too horny,4 - Somewhat positively improved my social life,3 - No Impact,It's fun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025 21:09:50,23,Heterosexual (straight),Male,Metro Manila,For the experience and a form of past time,Few times a week,3-6 months,Yes,"Boost, Premium+, Superswipe",2,BFF,,,,,,,,,,,,,,,,"Coworking, Nights out, People to meet in real life, Workouts and Sports",Yes,"I'm a genuine person, so there is no need to hide my identity.",4,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","I'm the type of guy who thoroughly looks at a person based on what they put in their bio. From there, I get an idea of how a person is.",Same Interests,Women,Yes,Extrovert nature,Matches that don't respond,Recently moved to a new area,Yes,5,Be socially outgoing but be cautious also.,,,,,,,,,,,,,,,
4/4/2025 21:12:08,19,Heterosexual (straight),Female,Bataan,fun and excitement,Few times a week,3-6 months,Yes,Superswipe,2,Dating,Life partner,Yes,yes,2,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",no answer ,Same University/College,Women,Yes,i feel like it,Having similar relationship goals,none,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,be careful who you are chatting wiht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025 22:10:30,20,Gay,Male,Rizal,I only use it to find new friends using the bff section.,Once a day,More than a year,No,None,4,BFF,,,,,,,,,,,,,,,,"Gaming, People to meet in real life, Travel",Yes,Because there's no point in creating an account without using your real name.,3,Selective swiping - I swipe right only on profiles that genuinely catch my interest,I think people either want someone more mature than them or people who are also on their level.,Same Interests,Men,Yes,"If I find that person to be quite interesting and I know that will respond, then surely I will message first.",Matches that don't respond,Seeking friends with similar hobbies,No,5,I think it's a good thing to socialize with people outside of your circle. I've learned not to trust people easily especially on the internet.,,,,,,,,,,,,,,,
4/4/2025 22:27:47,22,Heterosexual (straight),Female,Metro Manila,For fun only,Few times a week,More than a year,No,None,4,Dating,"Fun, casual dates, Intimacy, without commitment",No,Fear of my friends finding out that I use bumble,3,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.","i don't like younger age, it was like I'm hanging out with a kid.","Same University/College, Same Location, Same Interests",Men,No,out of pride,"Not enough matches, Not my type",if they want a serious relationship,3 - No Impact,5 - Very Positively Improved my self-confidence,always be clear with your intention to avoid hurting a person.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 10:47:51,23,Queer,Male,Quezon,I used Bumble to meet new people and learn about different stories,Several times a day,Less than a month,No,None,3,BFF,,,,,,,,,,,,,,,,Gaming,Yes,I’m using my nickname so I won’t get confused.,10+,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","It doesn’t really matter if they are the same age or not—as long as we vibe. I usually get a sense of their personality through their profile and if it clicks, I swipe.",Same Interests,Men,Yes,"Yes, I usually send the first message because I believe good conversations start with someone making a move.",Finding common interests,Seeking friends with similar hobbies,Yes,10+,Using Bumble to find friends as a student taught me how to step out of my comfort zone and communicate with different kinds of people.,,,,,,,,,,,,,,,
4/5/2025 13:53:12,22,Bisexual,Female,Laguna,Get to know others and have casual dates with them :),Few times a month,More than a year,Yes,Boost,4,Dating,"Fun, casual dates, Intimacy, without commitment",Yes,I use Bumble in my university so using a fake name doesn't really have a point for me,3,Selective swiping - I swipe right only on profiles that genuinely catch my interest,I prefer same-aged people because the friends I spend a lot of time with are older. I'd rather date someone who's around my stage in life.,"Same University/College, Same Age, Same Location, Same Interests",Men,Yes,I swipe right on people I find interesting so I message them about that point of interest and get to know them :),Not my type,Rude and assuming,3 - No Impact,3 - No Impact,"HAYH ahm communicate your intentions straight when things are starting to feel more serious. Learn to take rejection well; sometimes they really are turning you down and di ka ""pinapaasa"", they're just being polite ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 14:02:11,21,Heterosexual (straight),Female,Rizal,to talk to other people,Several times a day,3-6 months,Yes,Superswipe,3,Dating,"Fun, casual dates",No,to not be searched in fb or other socmeds,20-30,Mood-based swiping - I swipe depending on how I'm feeling at the very moment.,im not that serious in looking for someone to talk to,"Same Interests, Different Age",Men,Yes,it is required to do the first move for women,"Finding genuine connections, Having similar relationship goals, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",people who mask themselves as looking for dates but really they are there for sexual reasons,2 - Somewhat negatively affected my social life,4 - Somewhat positively improved my self-confidence,never again 😁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 16:00:11,24,Heterosexual (straight),Female,Laguna,Boredom and seems fun ,Few times a week,Less than a month,No,None,3,Dating,"Fun, casual dates",No,For privacy and safety,15-20,Strategic swiping - I swipe based on specific type or checklist in mind,"I prefer someone older than me. But if its just dating and usap lang, talking to someone 2 years or 3 years younger is fine. ","Same Interests, Different University/College, Different Degree Program, Different Age",Men,Yes,"Bc that's the feature of Bumble. But now iba na since if you put a prompt na, the guy could message u na. ","Geographic distance, Matches that don't respond, Not my type",To each their own naman but when yung iba is so blatantly being sexual or disrespectful nakakainis. ,3 - No Impact,3 - No Impact,"I just use Bumble to talk and if the person is nice, respectful and vibe check naman I'm okay to date but that's it. I'm not the type to be in a relationship with someone I met online, old school yeah but I prefer organic way pa rin hehe ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 16:04:51,39,Heterosexual (straight),Male,Tarlac,"Curiosity, since I'm recently separated.",Rarely,Less than a month,No,None,1,Dating,"Ethical Monogamy, Life partner, Long-term relationship",No,"Anonymity, might see a photo from my hometown.",4,No Swiping - I rarely swipe or none at all for long periods. I just wait for others to swipe then that's where I decide.,"Same or lower age, either same interests or learn new things from young folks. ","Same Age, Same Location, Same Interests",Women,No,Just checking the waters.,"Finding genuine connections, Geographic distance, Having similar relationship goals, I am not their type","Judgemental, due to my age",3 - No Impact,3 - No Impact,Hook up culture is popular for young adults.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 16:13:28,23,Bisexual,Female,Laguna,To date,Few times a week,1-3 months,Yes,"Premium, to see who swiped right",3,Dating,"Fun, casual dates",Yes,I give my social media account to people I like. I don't want them to ask why I use a different name.,10,Mood-based swiping - I swipe depending on how I'm feeling at the very moment.,Same age: to kind of make sure that we are in the same stage in life (studying/starting work),"Same University/College, Same Age, Same Location",Women,Yes,i don't wanna seem snob,"Finding genuine connections, Having similar relationship goals",Short answers and no follow-up questions,4 - Somewhat positively improved my social life,5 - Very Positively Improved my self-confidence,Everyone lies about something,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 16:32:23,22,Heterosexual (straight),Male,Metro Manila,To have fun dates and hopefully meet the one,Once a day,1-3 months,Yes,Boost,2,Dating,"Fun, casual dates, Long-term relationship",Yes,I feel like I'd already be lying to my match,1,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I prefer same age cuz usually it gives more things to connect with,"Same Age, Same Location, Same Interests, Different University/College, Different Degree Program",Women,Yes,How will the convo start if no one makes the first move?,"I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches, Not my type","When they reply with ""low effort"" or dry messages like ""ok"" or ""yeah""",4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,Patience is the key talaga. Learn to take things slow and just have fun :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 17:12:43,46,Heterosexual (straight),Male,Metro Manila,Looking for a date/partner,Several times a day,More than a year,Yes,"Premium, Premium+",3,Dating,"Ethical Monogamy, Fun, casual dates, Intimacy, without commitment",Yes,Because i have nothing to hide.,1,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",It helps ensure we are compatible,"Same Location, Same Interests, Different Age, Different Interests",Women,Yes,Seems the appropriate thing to do,"Finding genuine connections, Geographic distance, Having similar relationship goals, I am not their type, Matches that don't respond, Not enough matches",They do not respond timely,3 - No Impact,4 - Somewhat positively improved my self-confidence,Not a student but i learned that it is better to be upfront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 19:07:47,24,Heterosexual (straight),Male,Metro Manila,to look for someone i can fuck with,Few times a week,3-6 months,Yes,"Superswipe, just superswipe for more fuck",3,Dating,"Fun, casual dates, Intimacy, without commitment",No,cuz confidential ,maybe 5 cuz im very picky,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"im kind of looking for 3yrs older than me, because it's more thrilling to fuck someone older than you","Same Location, just 20km away in my location, to easy meet and fuck","i don't do date, i just do meet and fuck",Yes,because im horny ,"Having similar relationship goals, when they can't split the bill, and they have mindset of you're a ""guy"" u should pay the bill, which is bullshit. just imagine two of you are just students and of ur money just came from ur parents. what a stupid minset of girls",when they can't split the bill ,3 - No Impact,3 - No Impact,just be polite so u can fuck them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 19:39:53,25,Lesbian,Non-binary,Davao del Sur,For hookups,Few times a week,1-3 months,No,None,2,Dating,"Fun, casual dates, Intimacy, without commitment",No,More like I'm using my nickname because I'm more comfortable calling me by my nickname than my name especially that they're still strangers.,3,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",I'm mostly open to everything. And only seeking for casual/fun,"Same Location, Same Interests, Different Age, Different Interests",Women,No,"It varies like if there was something catchy on her profile, that's where I start the conversation. But if nothing, I'll just wait for the other to do the first move.","Geographic distance, Matches with people that ghosts or unexpectedly unmatches, Not enough matches",The energy doesn't match.,3 - No Impact,3 - No Impact,You can find different types of love here. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 20:51:45,19,Heterosexual (straight),Male,Rizal,Find someone to coexist with?,Few times a month,6-12 months,Yes,"Boost, Compliment, Premium, Premium+, Spotlight, Superswipe",2,Dating,"Fun, casual dates, Intimacy, without commitment",Yes,I think using your real name sort of builds trust with the person you match with.,3,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",Different age. More people,"Different Age, Different Location, Different Interests",Women,Yes,"I think, as a guy, it's kind of the common thing to do?","Finding genuine connections, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches",Don't give off the same energy as I do.,3 - No Impact,2 - Somewhat negatively affected my self-confidence,It's better to find a genuine connection with someone you click with irl rather than in dating apps.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 20:57:07,22,Heterosexual (straight),Female,Metro Manila,Curiosity,Once a day,1-3 months,No,None,2,Dating,"Life partner, Long-term relationship, Marriage",Yes,N/A,2,Selective swiping - I swipe right only on profiles that genuinely catch my interest,I prefer to date people who are in the same age as mine or those who are 2 years younger or older than me. ,"Same Age, Same Interests, Different University/College, Different Age",Men,Yes,"At that time, it is required for women to make the first message.","Finding genuine connections, Geographic distance, I am not their type, Not enough matches, Not my type",Matches that do not give the same energy given to them lol,3 - No Impact,3 - No Impact,"I have learned that a lot of people do not really have serious intentions lol. I just realized how difficult finding real connections nowadays. But, I guess I shouldn’t be expecting that in a dating app lmao.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 21:45:50,19,Bisexual,Male,Metro Manila,To find *that* person.,Few times a week,6-12 months,Yes,Premium,2,Dating,"Fun, casual dates",No,Just because,0.5,Selective swiping - I swipe right only on profiles that genuinely catch my interest,Just because.,"Same Age, Same Location, Different University/College, Different Degree Program",Men,Yes,Becaus that's the point of Bumble.,"Finding genuine connections, Geographic distance, Having similar relationship goals, I am not their type, Matches that don't respond, Not my type",Them not replying.,3 - No Impact,2 - Somewhat negatively affected my self-confidence,Don't try haha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
